time,open,high,low,close,tick_volume,spread
2026-06-28 22:00:00+00:00,4082.28,4084.24,4059.43,4079.36,1171,136
2026-06-28 22:01:00+00:00,4079.36,4079.36,4073.02,4073.76,631,56
2026-06-28 22:02:00+00:00,4073.76,4083.17,4071.93,4082.95,424,52
2026-06-28 22:03:00+00:00,4082.95,4085.55,4075.33,4078.04,474,64
2026-06-28 22:04:00+00:00,4078.04,4078.96,4073.98,4075.63,239,70
2026-06-28 22:05:00+00:00,4075.64,4076.48,4072.76,4074.48,606,0
2026-06-28 22:06:00+00:00,4074.48,4079.86,4074.43,4078.83,532,0
2026-06-28 22:07:00+00:00,4078.83,4083.39,4078.73,4082.53,601,31
2026-06-28 22:08:00+00:00,4082.53,4082.53,4074.57,4077.43,557,0
2026-06-28 22:09:00+00:00,4077.43,4080.32,4076.15,4076.15,426,0
2026-06-28 22:10:00+00:00,4076.14,4078.27,4074.67,4077.0,469,0
2026-06-28 22:11:00+00:00,4077.0,4077.03,4074.58,4075.01,441,12
2026-06-28 22:12:00+00:00,4075.01,4075.89,4070.02,4071.38,420,0
2026-06-28 22:13:00+00:00,4071.38,4074.76,4071.16,4071.53,436,16
2026-06-28 22:14:00+00:00,4071.51,4073.78,4069.78,4069.78,567,0
2026-06-28 22:15:00+00:00,4069.78,4070.6,4065.56,4065.73,652,0
2026-06-28 22:16:00+00:00,4065.8,4067.82,4061.89,4062.64,565,0
2026-06-28 22:17:00+00:00,4062.64,4064.55,4061.78,4062.32,345,0
2026-06-28 22:18:00+00:00,4062.32,4063.7,4053.29,4054.63,860,0
2026-06-28 22:19:00+00:00,4054.63,4060.41,4054.45,4060.14,715,0
2026-06-28 22:20:00+00:00,4060.14,4062.54,4056.17,4058.95,564,0
2026-06-28 22:21:00+00:00,4058.95,4062.69,4058.82,4060.53,363,0
2026-06-28 22:22:00+00:00,4060.47,4062.72,4060.24,4061.44,294,0
2026-06-28 22:23:00+00:00,4061.45,4062.45,4059.56,4059.73,280,0
2026-06-28 22:24:00+00:00,4059.73,4060.46,4059.03,4059.51,329,0
2026-06-28 22:25:00+00:00,4059.51,4061.14,4058.58,4060.56,406,0
2026-06-28 22:26:00+00:00,4060.56,4061.55,4058.26,4058.49,169,0
2026-06-28 22:27:00+00:00,4058.49,4058.65,4056.8,4057.64,226,0
2026-06-28 22:28:00+00:00,4057.64,4060.72,4057.64,4058.62,422,0
2026-06-28 22:29:00+00:00,4058.62,4059.01,4057.15,4057.34,277,0
